Epoch	Train loss	Test loss	Test acc
0	2.2646082676373993	1.9994683479651427	tensor(30.1600)
1	2.205926349835518	1.8740507547671978	tensor(38.0600)
2	2.155136491702153	1.766632541632041	tensor(44.5700)
3	2.117996715887999	1.8162955687596247	tensor(41.1300)
4	2.101892569126227	1.7207112098351502	tensor(48.2000)
5	2.0812339932490618	1.6739618151615827	tensor(50.8500)
6	2.070852315120208	1.6694731697058067	tensor(50.7100)
7	2.0595884702144525	1.644920784693498	tensor(52.9200)
8	2.0498217805837973	1.6004538536071777	tensor(53.8900)
9	2.042734688673264	1.6165093917113085	tensor(57.5800)
10	2.035106724347824	1.5963453619908063	tensor(55.1000)
11	2.030574208039504	1.5715867494925475	tensor(57.7500)
12	2.024439351680951	1.5290556091528673	tensor(59.4700)
13	2.024105143852723	1.5588998626439998	tensor(59.2900)
14	2.0203012399184397	1.5715159422312028	tensor(58.9400)
15	2.0146526312216735	1.51962203398729	tensor(60.4200)
16	2.013039568448678	1.538541011321239	tensor(61.3600)
17	2.0088354566158393	1.5482442333148076	tensor(59.8000)
18	2.0060665659415418	1.5410073063312433	tensor(61.9200)
19	2.0052182329006683	1.5029800350849445	tensor(62.9700)
20	1.9993498533199996	1.5291041533152263	tensor(61.1100)
21	1.9968776794580312	1.5497936254892595	tensor(62.5700)
22	1.997114064754584	1.529589743186266	tensor(62.4200)
23	1.9967603854643994	1.5021186623817835	tensor(63.6400)
24	1.9936448830824631	1.5187450983585455	tensor(63.6400)
25	1.989253909465594	1.5024643265284026	tensor(62.8100)
26	1.988731089922098	1.5028856549507532	tensor(64.1400)
27	1.9855117461620233	1.5005375834611745	tensor(65.0600)
28	1.9830249994229048	1.4752802818249433	tensor(63.4800)
29	1.9819533348083496	1.5132503692920392	tensor(62.8900)
30	1.9822327616887214	1.4331356317569048	tensor(66.6500)
31	1.9819568695166172	1.499029089242984	tensor(63.8000)
32	1.9801522854046945	1.445975783543709	tensor(67.8600)
33	1.9780283411343893	1.4887320261735182	tensor(65.6700)
34	1.9728063830962548	1.4378931812750988	tensor(67.3900)
35	1.9711295925653898	1.436364389382876	tensor(67.3400)
36	1.974244295939421	1.4835683611723094	tensor(68.4500)
37	1.9692538282810113	1.4378466300475292	tensor(67.7300)
38	1.9716862201690675	1.4471247776960716	tensor(67.1000)
39	1.9673743489461066	1.465779429826981	tensor(65.7600)
40	1.9639970999497633	1.4796948004991581	tensor(67.8400)
41	1.967646011022421	1.4608127352518914	tensor(69.1600)
42	1.9635902655430328	1.4273489927634215	tensor(68.4200)
43	1.963464053777548	1.4698181366309142	tensor(67.0800)
44	1.9645086603286939	1.438681953992599	tensor(69.4400)
45	1.9655517376386202	1.4135531737254217	tensor(70.1700)
46	1.9619458724290897	1.4392065084897554	tensor(68.1400)
47	1.9578878063421983	1.4398619410319207	tensor(68.6400)
48	1.958201772433061	1.4367496569951375	tensor(70.6300)
49	1.9570354220194695	1.4067448713840582	tensor(70.6900)
50	1.9512493900763683	1.3897401109719887	tensor(68.5500)
51	1.9537555278875889	1.422480849119333	tensor(72.4800)
52	1.9551450524574672	1.4195119784428523	tensor(70.2900)
53	1.9506692265852903	1.4117757280667622	tensor(68.6100)
