Epoch	Train loss	Test loss	Test acc
0	2.276377278107863	2.035856489951794	tensor(29.1900)
1	2.1909589327298677	1.9775087466606727	tensor(36.3000)
2	2.127171337298858	1.780071599361224	tensor(40.1500)
3	2.089872032862443	1.7325475491010225	tensor(50.6900)
4	2.0653354008992513	1.6854965747931066	tensor(54.2800)
5	2.050958070082542	1.6094786402506707	tensor(56.7100)
6	2.039644180200039	1.637474808937464	tensor(54.1000)
7	2.0357540980363504	1.6272452916854467	tensor(52.9200)
8	2.025803851469969	1.5340777727273793	tensor(59.4000)
9	2.0186631535872435	1.542252051524627	tensor(58.3200)
10	2.015535589670524	1.5420494354688203	tensor(61.8600)
11	2.00831997975325	1.4787526589173536	tensor(62.3200)
12	2.0040911732575832	1.5215956920232527	tensor(64.5200)
13	2.0016712974279356	1.465623303865775	tensor(62.9200)
14	1.999901217680711	1.48580118173208	tensor(63.3800)
15	1.9968532446103218	1.5149310322908254	tensor(61.5000)
16	1.996328150309049	1.4481521860147133	tensor(66.7700)
17	1.9885760347048442	1.4574712805258923	tensor(65.0600)
18	1.9890983297274663	1.4230615939849462	tensor(65.8900)
19	1.9834046629758981	1.5151162850551116	tensor(62.5300)
20	1.9833886054845957	1.4442364007998736	tensor(63.1400)
21	1.9801338036855063	1.4473144855254736	tensor(64.4800)
22	1.981640410117614	1.4598560730616252	tensor(66.7700)
23	1.9745373145127907	1.4029223873065069	tensor(67.7000)
24	1.9732509380731826	1.4579648528343592	tensor(64.8800)
25	1.9738358650452053	1.4817734651076488	tensor(66.6100)
26	1.9685502046193832	1.4281797806421916	tensor(64.1800)
27	1.969570032449869	1.4780047979110327	tensor(64.4000)
28	1.966778444021176	1.4270716110865276	tensor(67.5600)
29	1.9681127300629249	1.390010682436136	tensor(69.1000)
30	1.9680681739097987	1.372200641876612	tensor(69.6100)
31	1.96658948354232	1.3630726108184228	tensor(68.1200)
32	1.9650321324666342	1.3960522077022455	tensor(66.3200)
33	1.9605429612673246	1.393820469196026	tensor(68.8600)
34	1.9632845325347705	1.4030830309941218	tensor(70.2800)
35	1.9603474714817144	1.3940460284550984	tensor(67.3200)
36	1.9617078609955616	1.4156280954678853	tensor(69.)
37	1.961684619463407	1.425807107717563	tensor(66.5400)
38	1.9573639671007792	1.4219778974850972	tensor(64.4000)
39	1.958515635209206	1.4689960464453087	tensor(68.1200)
40	1.9582166659526337	1.3535283024494464	tensor(70.7400)
41	1.9550917059947284	1.3818872173627217	tensor(70.5500)
42	1.952580727980687	1.449493877398662	tensor(67.9500)
43	1.9557639904511281	1.4228030076393714	tensor(72.0600)
44	1.9555247954833201	1.3654700013307424	tensor(68.6700)
45	1.9553569173201537	1.411365379125644	tensor(69.1000)
46	1.9537264035298274	1.3923596052023082	tensor(70.9500)
47	1.9586390122389181	1.387935956319173	tensor(68.9900)
48	1.9485904534657796	1.40770877018953	tensor(68.8800)
49	1.9528872398229746	1.4005913138389587	tensor(69.9100)
