Epoch	Train loss	Test loss	Test acc
0	2.2772683540980023	1.9685747027397156	tensor(32.8900)
1	2.243402185806861	1.9116814732551575	tensor(38.2600)
2	2.227891196960058	1.7902906766304603	tensor(46.4200)
3	2.2126577579058133	1.8004047106473873	tensor(46.5000)
4	2.2014170793386607	1.7213430312963633	tensor(51.3100)
5	2.1863080703295195	1.626619693560478	tensor(55.2900)
6	2.175804538604541	1.549566646416982	tensor(57.3100)
7	2.1688751654747205	1.5520210373095977	tensor(61.3000)
8	2.1638206322987874	1.5398305562826304	tensor(57.4000)
9	2.156476952479436	1.499611033843114	tensor(61.7100)
10	2.1485844661027955	1.5130547193380504	tensor(59.3700)
11	2.1430239903621184	1.419105583276504	tensor(66.0700)
12	2.140980569521586	1.48609843926552	tensor(62.4600)
13	2.1366905585313454	1.5099436182242174	tensor(64.0300)
14	2.1320639695876684	1.4890278593087807	tensor(62.5000)
15	2.128982960872161	1.4253188081276722	tensor(65.2900)
16	2.1246494519404875	1.3939688969881108	tensor(68.8700)
17	2.1217365038700593	1.429061316526853	tensor(66.3700)
18	2.117846816014021	1.3901786360985193	tensor(67.6600)
19	2.1148023207982383	1.400141873420813	tensor(67.4700)
20	2.1092214724956415	1.3920103754752722	tensor(69.6500)
21	2.1079349001248677	1.4049305212803376	tensor(66.9500)
22	2.1052597424922843	1.3850500736481104	tensor(69.9900)
23	2.1020276118547487	1.3883511393498151	tensor(66.9000)
24	2.0986005507982695	1.3654899046971247	tensor(69.2300)
25	2.0946386056068618	1.4162821219517634	tensor(70.4900)
26	2.087457099327674	1.3496534258891375	tensor(71.4300)
27	2.0891074574910675	1.4856609579844353	tensor(62.9700)
28	2.085401411851247	1.3748902495090778	tensor(70.9400)
29	2.082796792494945	1.3014503916104634	tensor(71.6300)
30	2.078468192235017	1.3367049464812646	tensor(71.)
31	2.0741174208812225	1.3382334204820485	tensor(70.1400)
32	2.07269050463652	1.4101334183644025	tensor(68.4500)
33	2.070536078245212	1.4376672353499975	tensor(66.9900)
34	2.066766931154789	1.4195673664410908	tensor(71.1700)
35	2.063824036793831	1.3865180137829902	tensor(69.7900)
36	2.0627924179419495	1.3677653945409334	tensor(72.0700)
37	2.0583074193734388	1.462452191572923	tensor(69.4600)
38	2.05487453020536	1.3792165105159466	tensor(70.5700)
39	2.0582287470499674	1.355633359688979	tensor(70.0600)
40	2.0523922046025596	1.3584173260590968	tensor(71.9100)
41	2.050536775894654	1.4004369240540724	tensor(70.3500)
42	2.0485493048643453	1.3892658964181557	tensor(70.2400)
43	2.044855223557888	1.3518350368891008	tensor(69.7100)
44	2.040992747209011	1.449058207181784	tensor(67.0700)
45	2.043435707459083	1.4631585494065895	tensor(64.5500)
46	2.040149248868991	1.393599808216095	tensor(71.3300)
47	2.0391215559763785	1.4231496147620373	tensor(68.1900)
48	2.0414141413493034	1.3738251343751564	tensor(71.4400)
49	2.0337186040022432	1.3535642868433244	tensor(71.4300)
0	2.270236915197128	1.9775594427035406	tensor(32.0800)
1	2.2298814272269225	1.8993955927017407	tensor(37.1100)
2	2.200432612345769	1.8139390456370819	tensor(38.0600)
3	2.178410670084831	1.7989680705926356	tensor(38.5300)
4	2.1598132469715217	1.728939903088105	tensor(42.4500)
5	2.141826427899874	1.6140705240078461	tensor(50.0500)
6	2.1294718069907947	1.674083070877271	tensor(45.9800)
7	2.1217099886674147	1.5527187341298812	tensor(52.5600)
8	2.1115879132197453	1.5957590754215534	tensor(45.6100)
9	2.1072439676676042	1.535107054771521	tensor(55.3900)
10	2.099113593957363	1.60540044766206	tensor(47.1800)
11	2.0934028912813236	1.4456550310819576	tensor(58.3900)
12	2.089321266687833	1.3991070343897893	tensor(61.)
13	2.0860574869009163	1.492042723374489	tensor(59.0600)
14	2.0802912226090062	1.4575136441450853	tensor(59.0800)
15	2.0794912377993264	1.4299566959723449	tensor(63.7400)
16	2.0745271893648	1.39840955611987	tensor(62.5500)
17	2.0706208950433975	1.4119331393486414	tensor(63.4600)
18	2.0693677110549733	1.443467037800031	tensor(63.1400)
0	2.2670219763731345	1.9951490133236616	tensor(29.4200)
1	2.175394620039524	1.9379692857082074	tensor(32.1000)
2	2.1121799640166454	1.6963088115056355	tensor(49.3300)
3	2.0732970549510075	1.7109365035326054	tensor(50.8100)
4	2.0566142571278108	1.5660393895247045	tensor(55.6900)
5	2.045159767835568	1.537605412495442	tensor(58.4700)
6	2.0366119152460342	1.5591342250506084	tensor(60.5200)
7	2.0289549191792804	1.5276705806071942	tensor(61.1000)
8	2.021189830853389	1.5695278766827705	tensor(61.4000)
9	2.0160401075314254	1.558391911861224	tensor(57.9300)
